x,y
apexcharts.js,0
svg.draggable.js,1
svg.easing.js,1
svg.filter.js,1
svg.pathmorphing.js,1
svg.resize.js,1
svg.select.js,2
svg.js,6
axios,5
follow-redirects,2
form-data,4
proxy-from-env,2
@nextcloud/auth,7
core-js,25
tslib,16
asynckit,1
combined-stream,2
mime-types,11
delayed-stream,2
mime-db,3
card,0
node.extend,1
payment,1
qj,2
has,14
is,1
globalthis,2
define-properties,17
object-keys,3
has-property-descriptors,2
clipboard.js,0
good-listener,2
select,2
tiny-emitter,3
delegate,1
cz-cli,0
cachedir,2
cz-conventional-changelog,2
dedent,2
detect-indent,3
find-node-modules,2
find-root,3
fs-extra,19
glob,20
inquirer,2
is-utf8,2
lodash,42
minimist,14
strip-bom,4
strip-json-comments,6
chalk,46
commitizen,1
conventional-commit-types,1
lodash.map,1
longest,1
word-wrap,2
ansi-styles,3
supports-color,5
escape-string-regexp,7
has-ansi,1
strip-ansi,12
has-color,1
@types/color-name,1
color-convert,3
color-name,2
has-flag,2
repeating,1
findup-sync,3
merge,1
detect-file,1
is-glob,11
micromatch,10
resolve-dir,2
is-extglob,4
braces,2
picomatch,5
arr-diff,2
array-unique,4
define-property,11
extend-shallow,13
extglob,1
fragment-cache,3
kind-of,15
nanomatch,1
object.pick,3
regex-not,5
snapdragon,5
to-regex,5
expand-brackets,2
filename-regex,1
normalize-path,6
object.omit,1
parse-glob,1
regex-cache,1
fill-range,2
expand-range,1
preserve,1
repeat-element,2
arr-flatten,3
isobject,14
snapdragon-node,1
split-string,2
to-regex-range,1
is-number,4
randomatic,1
repeat-string,2
expand-tilde,3
global-modules,1
homedir-polyfill,3
parse-passwd,1
global-prefix,1
is-windows,3
ini,4
which,6
isexe,1
graceful-fs,17
jsonfile,1
universalify,3
at-least-node,1
@types/node,57
@types/jsonfile,2
fs.realpath,1
inflight,1
inherits,32
minimatch,24
once,6
path-is-absolute,4
path-type,4
@nodelib/fs.stat,3
@nodelib/fs.walk,3
glob-parent,5
merge2,3
@types/events,2
@types/minimatch,3
wrappy,2
brace-expansion,1
balanced-match,1
concat-map,1
pify,10
@nodelib/fs.scandir,1
fastq,1
run-parallel,1
queue-microtask,1
reusify,1
path-dirname,1
ansi-escapes,1
cli-cursor,2
cli-width,1
external-editor,1
figures,3
mute-stream,1
run-async,1
rxjs,1
string-width,10
through,2
ora,4
wrap-ansi,3
restore-cursor,1
onetime,3
signal-exit,4
mimic-fn,2
chardet,1
iconv-lite,11
tmp,5
safer-buffer,6
os-tmpdir,3
os-homedir,3
rimraf,14
object-assign,9
emoji-regex,1
is-fullwidth-code-point,1
code-point-at,1
ansi-regex,5
bl,3
cli-spinners,1
is-interactive,1
is-unicode-supported,2
log-symbols,2
wcwidth,1
buffer,9
readable-stream,30
safe-buffer,36
base64-js,3
ieee754,3
string_decoder,4
util-deprecate,3
core-util-is,2
isarray,4
process-nextick-args,1
abort-controller,3
events,4
process,4
defaults,1
clone,3
ecma262,0
ecmarkup,1
command-line-args,1
command-line-usage,1
dedent-js,1
ecmarkdown,1
eslint-formatter-codeframe,1
fast-glob,3
grammarkdown,1
highlight.js,1
html-escape,1
js-yaml,13
jsdom,3
nwsapi,2
parse5,2
prex,1
promise-debounce,1
array-back,4
find-replace,1
lodash.camelcase,1
typical,4
table-layout,1
deep-extend,2
wordwrapjs,1
reduce-flatten,1
escape-html,13
@babel/code-frame,8
@babel/highlight,1
@babel/helper-validator-identifier,5
js-tokens,3
@esfx/async-canceltoken,1
@esfx/cancelable,3
@esfx/collections-linkedlist,1
@esfx/disposable,3
@esfx/internal-guards,4
@esfx/internal-tag,2
@esfx/internal-deprecate,2
@esfx/type-model,1
@esfx/collection-core,1
@esfx/equatable,1
argparse,5
esprima,5
sprintf-js,3
abab,2
acorn,7
acorn-globals,1
cssom,2
cssstyle,1
data-urls,1
decimal.js,2
domexception,2
escodegen,2
html-encoding-sniffer,1
http-proxy-agent,4
https-proxy-agent,6
is-potential-custom-element-name,1
saxes,1
symbol-tree,1
tough-cookie,3
w3c-hr-time,1
w3c-xmlserializer,1
webidl-conversions,4
whatwg-encoding,2
whatwg-mimetype,2
whatwg-url,3
ws,8
xml-name-validator,3
array-equal,1
pn,1
request,3
request-promise-native,1
acorn-walk,3
lodash.sortby,1
tr46,1
punycode,4
estraverse,6
esutils,6
optionator,2
deep-is,1
fast-levenshtein,1
levn,2
prelude-ls,3
type-check,2
@tootallnate/once,3
agent-base,4
debug,69
ms,6
@types/ms,2
electron-is-dev,1
electron-localshortcut,1
@babel/helper-module-imports,6
@babel/helper-replace-supers,4
@babel/helper-simple-access,3
@babel/helper-split-export-declaration,5
@babel/template,7
@babel/traverse,10
@babel/types,30
@babel/helper-environment-visitor,8
xmlchars,1
psl,1
ip-regex,2
browser-process-hrtime,1
aws-sign2,1
aws4,1
caseless,1
extend,9
forever-agent,1
har-validator,1
http-signature,1
is-typedarray,3
isstream,1
json-stringify-safe,3
oauth-sign,1
performance-now,1
qs,5
tunnel-agent,3
uuid,9
@types/caseless,1
@types/tough-cookie,1
clone-response,2
get-stream,9
http-cache-semantics,3
keyv,2
lowercase-keys,4
normalize-url,3
responselike,3
ajv,10
har-schema,2
fast-deep-equal,3
fast-json-stable-stringify,2
json-schema-traverse,1
uri-js,1
require-from-string,1
assert-plus,6
jsprim,1
sshpk,1
extsprintf,2
json-schema,1
verror,1
asn1,1
bcrypt-pbkdf,1
dashdash,1
ecc-jsbn,1
getpass,1
jsbn,3
tweetnacl,3
request-promise-core,1
stealthy-require,1
framework,0
aurelia-binding,2
aurelia-dependency-injection,2
aurelia-loader,2
aurelia-logging,3
aurelia-metadata,5
aurelia-pal,6
aurelia-path,3
aurelia-task-queue,3
aurelia-templating,1
gopherjs,0
source-map-support,4
buffer-from,3
source-map,21
@jridgewell/gen-mapping,3
@jridgewell/trace-mapping,4
convert-source-map,7
inline-source-map,1
lodash.memoize,2
muggle-string,1
gpu.js,0
gl,1
gl-wiretap,1
gpu-mock.js,1
webgpu,1
bindings,3
bit-twiddle,1
glsl-tokenizer,1
nan,2
node-abi,2
node-gyp,1
prebuild-install,3
file-uri-to-path,2
through2,3
xtend,6
semver,41
lru-cache,8
yallist,5
pseudomap,2
env-paths,3
nopt,6
npmlog,3
tar,4
make-fetch-happen,1
is-descriptor,1
is-accessor-descriptor,1
is-data-descriptor,1
is-buffer,4
posix-character-classes,1
is-posix-bracket,1
is-extendable,5
assign-symbols,1
is-plain-object,4
safe-regex,2
ret,1
base,1
map-cache,3
source-map-resolve,1
use,1
cache-base,1
class-utils,1
component-emitter,3
mixin-deep,1
pascalcase,1
collection-visit,2
get-value,4
has-value,4
set-value,3
to-object-path,2
union-value,2
unset-value,2
map-visit,1
object-visit,2
has-values,1
arr-union,2
static-extend,1
object-copy,1
copy-descriptor,1
for-in,2
@jridgewell/set-array,1
@jridgewell/sourcemap-codec,2
@jridgewell/resolve-uri,1
atob,2
decode-uri-component,3
resolve-url,3
source-map-url,2
urix,2
abbrev,1
osenv,1
are-we-there-yet,1
console-control-strings,2
gauge,1
set-blocking,2
delegates,2
aproba,1
has-unicode,1
wide-align,1
color-support,1
@types/glob,3
chownr,4
fs-minipass,3
minipass,13
minizlib,2
mkdirp,17
node-addon-api,1
agentkeepalive,1
cacache,1
is-lambda,1
minipass-collect,3
minipass-fetch,1
minipass-flush,3
minipass-pipeline,3
negotiator,2
promise-retry,1
socks-proxy-agent,2
ssri,3
depd,8
humanize-ms,1
@npmcli/fs,2
@npmcli/move-file,2
infer-owner,2
p-map,3
promise-inflight,2
unique-filename,2
@gar/promisify,1
aggregate-error,1
clean-stack,1
indent-string,2
unique-slug,1
imurmurhash,3
minipass-sized,1
err-code,2
retry,3
socks,1
ip,5
smart-buffer,1
yauzl,3
detect-libc,2
expand-template,1
github-from-package,1
mkdirp-classic,2
napi-build-utils,1
noop-logger,1
pump,4
rc,4
simple-get,1
tar-fs,2
which-pm-runs,1
end-of-stream,3
espree,4
globals,6
ignore,7
import-fresh,4
decompress-response,2
simple-concat,1
mimic-response,3
tar-stream,4
fs-constants,1
buffer-alloc,3
to-buffer,1
html2canvas,0
css-line-break,1
text-segmentation,1
utrie,2
base64-arraybuffer,1
JavaScript,0
@babel/core,5
@babel/plugin-transform-runtime,1
@babel/preset-env,2
@ampproject/remapping,1
@babel/generator,3
@babel/helper-compilation-targets,6
@babel/helper-module-transforms,5
@babel/helpers,1
@babel/parser,10
gensync,1
json5,5
jsesc,3
@babel/helper-string-parser,1
to-fast-properties,2
@babel/compat-data,4
@babel/helper-validator-option,3
browserslist,12
caniuse-lite,3
electron-to-chromium,1
node-releases,1
update-browserslist-db,1
colorette,3
escalade,3
picocolors,2
@babel/helper-function-name,5
@babel/helper-hoist-variables,2
type-fest,9
@jest/environment,1
@jest/expect,1
@jest/types,12
jest-mock,3
@jest/fake-timers,1
@sinonjs/fake-timers,1
jest-message-util,3
jest-util,8
@jest/schemas,2
@types/istanbul-lib-coverage,2
@types/istanbul-reports,1
@types/yargs,2
@sinclair/typebox,1
@types/istanbul-lib-report,1
@types/yargs-parser,2
@sinonjs/commons,1
type-detect,4
@types/stack-utils,1
pretty-format,6
slash,6
stack-utils,1
react-is,6
ci-info,3
expect,3
jest-snapshot,2
@jest/expect-utils,2
jest-get-type,6
jest-matcher-utils,2
@babel/plugin-syntax-jsx,3
@babel/plugin-syntax-typescript,1
@jest/transform,1
@types/babel__traverse,1
@types/prettier,1
babel-preset-current-node-syntax,1
jest-diff,2
jest-haste-map,3
natural-compare,3
@babel/helper-plugin-utils,79
babel-plugin-istanbul,1
jest-regex-util,2
pirates,1
write-file-atomic,2
@istanbuljs/load-nyc-config,1
@istanbuljs/schema,3
istanbul-lib-instrument,1
test-exclude,1
camelcase,8
find-up,8
get-package-type,1
resolve-from,6
locate-path,1
path-exists,3
pinkie-promise,3
p-locate,2
p-limit,4
yocto-queue,1
p-try,1
istanbul-lib-coverage,1
@types/graceful-fs,1
anymatch,2
fb-watchman,1
jest-worker,3
walker,1
bser,1
node-int64,1
merge-stream,1
makeerror,1
tmpl,1
typedarray-to-buffer,1
@babel/plugin-syntax-async-generators,3
@babel/plugin-syntax-bigint,1
@babel/plugin-syntax-class-properties,2
@babel/plugin-syntax-import-meta,1
@babel/plugin-syntax-json-strings,3
@babel/plugin-syntax-logical-assignment-operators,3
@babel/plugin-syntax-nullish-coalescing-operator,3
@babel/plugin-syntax-numeric-separator,3
@babel/plugin-syntax-object-rest-spread,3
@babel/plugin-syntax-optional-catch-binding,3
@babel/plugin-syntax-optional-chaining,3
@babel/plugin-syntax-top-level-await,2
diff-sequences,1
babel-plugin-polyfill-corejs2,2
babel-plugin-polyfill-corejs3,2
babel-plugin-polyfill-regenerator,2
@babel/helper-define-polyfill-provider,3
lodash.debounce,2
resolve,15
is-core-module,3
path-parse,1
supports-preserve-symlinks-flag,1
jest-pnp-resolver,1
jest-validate,1
resolve.exports,1
tapable,3
@rollup/pluginutils,1
@types/resolve,1
builtin-modules,1
deepmerge,1
is-module,1
read-pkg-up,5
leven,1
core-js-compat,2
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,1
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,1
@babel/plugin-proposal-async-generator-functions,1
@babel/plugin-proposal-class-properties,2
@babel/plugin-proposal-class-static-block,1
@babel/plugin-proposal-dynamic-import,1
@babel/plugin-proposal-export-namespace-from,1
@babel/plugin-proposal-json-strings,1
@babel/plugin-proposal-logical-assignment-operators,1
@babel/plugin-proposal-nullish-coalescing-operator,1
@babel/plugin-proposal-numeric-separator,1
@babel/plugin-proposal-object-rest-spread,1
@babel/plugin-proposal-optional-catch-binding,1
@babel/plugin-proposal-optional-chaining,3
@babel/plugin-proposal-private-methods,1
@babel/plugin-proposal-private-property-in-object,1
@babel/plugin-proposal-unicode-property-regex,2
@babel/plugin-syntax-class-static-block,2
@babel/plugin-syntax-dynamic-import,2
@babel/plugin-syntax-export-namespace-from,2
@babel/plugin-syntax-import-assertions,1
@babel/plugin-syntax-private-property-in-object,2
@babel/plugin-transform-arrow-functions,1
@babel/plugin-transform-async-to-generator,1
@babel/plugin-transform-block-scoped-functions,1
@babel/plugin-transform-block-scoping,1
@babel/plugin-transform-classes,1
@babel/plugin-transform-computed-properties,1
@babel/plugin-transform-destructuring,1
@babel/plugin-transform-dotall-regex,2
@babel/plugin-transform-duplicate-keys,1
@babel/plugin-transform-exponentiation-operator,1
@babel/plugin-transform-for-of,1
@babel/plugin-transform-function-name,1
@babel/plugin-transform-literals,1
@babel/plugin-transform-member-expression-literals,1
@babel/plugin-transform-modules-amd,1
@babel/plugin-transform-modules-commonjs,1
@babel/plugin-transform-modules-systemjs,1
@babel/plugin-transform-modules-umd,1
@babel/plugin-transform-named-capturing-groups-regex,1
@babel/plugin-transform-new-target,1
@babel/plugin-transform-object-super,1
@babel/plugin-transform-parameters,2
@babel/plugin-transform-property-literals,1
@babel/plugin-transform-regenerator,1
@babel/plugin-transform-reserved-words,1
@babel/plugin-transform-shorthand-properties,1
@babel/plugin-transform-spread,1
@babel/plugin-transform-sticky-regex,1
@babel/plugin-transform-template-literals,1
@babel/plugin-transform-typeof-symbol,1
@babel/plugin-transform-unicode-escapes,1
@babel/plugin-transform-unicode-regex,1
@babel/preset-modules,1
@babel/helper-skip-transparent-expression-wrappers,3
@babel/helper-remap-async-to-generator,2
@babel/helper-annotate-as-pure,7
@babel/helper-wrap-function,1
@babel/helper-create-class-features-plugin,5
@babel/helper-member-expression-to-functions,2
@babel/helper-optimise-call-expression,3
@babel/helper-create-regexp-features-plugin,4
regexpu-core,1
regenerate,2
regenerate-unicode-properties,1
regjsgen,1
regjsparser,1
unicode-match-property-ecmascript,1
unicode-match-property-value-ecmascript,1
unicode-canonical-property-names-ecmascript,1
unicode-property-aliases-ecmascript,1
@babel/helper-builder-binary-assignment-operator-visitor,1
@babel/helper-explode-assignable-expression,1
babel-plugin-dynamic-import-node,3
object.assign,3
regenerator-transform,1
@babel/runtime,32
regenerator-runtime,9
johnny-five,0
lodash.clonedeep,1
nanotimer,1
temporal,1
jsdoc,0
@babel/eslint-parser,1
@nicolo-ribaudo/eslint-scope-5-internals,1
eslint-visitor-keys,7
eslint-scope,5
esrecurse,1
@types/eslint,2
@types/estree,6
keeweb,0
@babel/plugin-external-helpers,1
@fortawesome/fontawesome-free,1
@keeweb/keeweb-native-messaging-host,1
@keeweb/keeweb-native-modules,1
adm-zip,1
argon2-browser,1
autoprefixer,1
babel-cli,1
babel-eslint,2
babel-loader,1
baron,1
base64-inline-loader,1
base64-loader,1
bourbon,1
chai,1
cross-env,1
css-loader,1
dompurify,3
electron,1
electron-builder,1
electron-evil-feature-patcher,1
electron-notarize,2
electron-osx-sign,2
eslint,5
eslint-config-prettier,1
eslint-config-standard,2
eslint-plugin-babel,1
eslint-plugin-import,2
eslint-plugin-node,1
eslint-plugin-prettier,1
eslint-plugin-promise,2
eslint-plugin-standard,1
exports-loader,1
grunt,1
grunt-chmod,1
grunt-contrib-clean,1
grunt-contrib-compress,1
grunt-contrib-copy,1
grunt-contrib-deb,1
grunt-contrib-htmlmin,1
grunt-contrib-watch,1
grunt-electron,1
grunt-eslint,1
grunt-inline-alt,1
grunt-string-replace,1
grunt-webpack,1
handlebars,2
handlebars-loader,1
html-minifier,2
ignore-loader,1
jquery,5
json-loader,1
jsqrcode,1
kdbxweb,1
load-grunt-tasks,1
marked,3
mini-css-extract-plugin,1
mocha,2
morphdom,1
node-fetch,7
normalize.css,1
optimize-css-assets-webpack-plugin,1
pikaday,1
pkcs11-smartcard-sign,1
postcss,37
postcss-loader,1
prettier,1
puppeteer,1
raw-loader,1
run-remote-task,1
sass,1
sass-loader,1
stats-webpack-plugin,1
string-replace-loader,1
strip-sourcemap-loader,1
sumchecker,2
svg2ttf,1
svgicons2svgfont,1
terser-webpack-plugin,2
time-grunt,1
url-loader,1
wawoff2,1
webpack,1
webpack-bundle-analyzer,1
webpack-dev-server,1
fraction.js,2
normalize-range,1
postcss-value-parser,23
babel-core,2
babel-polyfill,1
babel-register,2
babel-runtime,10
commander,11
fs-readdir-recursive,1
output-file-sync,1
v8flags,2
babel-code-frame,2
babel-generator,1
babel-helpers,1
babel-messages,3
babel-template,2
babel-traverse,2
babel-types,4
babylon,3
private,1
trim-right,1
is-finite,2
number-is-nan,3
invariant,1
loose-envify,5
home-or-tmp,1
user-home,1
find-cache-dir,1
loader-utils,10
make-dir,5
schema-utils,12
commondir,1
pkg-dir,4
big.js,1
emojis-list,1
ajv-keywords,2
@types/json-schema,4
ajv-errors,1
ajv-formats,3
file-loader,1
assertion-error,4
check-error,2
deep-eql,2
get-func-name,2
pathval,2
cross-spawn,4
path-key,2
shebang-command,1
nice-try,1
shebang-regex,1
icss-utils,3
postcss-modules-extract-imports,1
postcss-modules-local-by-default,1
postcss-modules-scope,1
postcss-modules-values,1
cosmiconfig,4
klona,3
nanoid,2
source-map-js,1
js-base64,1
postcss-selector-parser,7
dot-prop,3
indexes-of,1
uniq,1
cssesc,1
is-obj,1
is-directory,1
parse-json,2
@types/parse-json,1
yaml,2
caller-path,2
parent-module,1
caller-callsite,1
callsites,2
@electron/get,2
extract-zip,3
electron-packager,2
got,4
progress,3
sanitize-filename,2
@sindresorhus/is,1
@szmarczak/http-timer,1
cacheable-request,1
duplexer3,1
p-cancelable,1
to-readable-stream,1
url-parse-lax,1
into-stream,1
is-retry-allowed,1
isurl,2
p-timeout,4
timed-out,1
url-to-options,2
@types/cacheable-request,1
@types/responselike,2
cacheable-lookup,1
http2-wrapper,1
defer-to-connect,1
json-buffer,1
prepend-http,1
truncate-utf8-bytes,1
utf8-byte-length,1
concat-stream,1
buffer-crc32,3
fd-slicer,1
pend,1
typedarray,1
asar,2
filenamify,2
galactus,1
get-package-info,1
junk,1
parse-author,1
plist,2
rcedit,1
yargs-parser,4
chromium-pickle-js,2
bluebird,5
compare-version,1
isbinaryfile,1
buffer-alloc-unsafe,1
buffer-fill,1
xmlbuilder,2
xmldom,3
filename-reserved-regex,1
strip-outer,1
trim-repeated,1
flora-colossus,1
lodash.get,2
read-pkg,2
load-json-file,2
normalize-package-data,2
hosted-git-info,2
validate-npm-package-license,1
spdx-correct,1
spdx-expression-parse,2
spdx-license-ids,2
spdx-exceptions,1
author-regex,1
app-builder-lib,2
builder-util,4
builder-util-runtime,5
dmg-builder,1
is-ci,4
lazy-val,4
read-config-file,2
update-notifier,2
yargs,7
@develar/schema-utils,1
@electron/universal,1
@malept/flatpak-bundler,1
7zip-bin,2
async-exit-hook,2
bluebird-lst,2
ejs,3
electron-publish,1
istextorbinary,1
temp-file,2
@malept/cross-spawn-promise,1
dir-compare,1
buffer-equal,2
colors,4
tmp-promise,1
@types/debug,2
@types/fs-extra,3
app-builder-bin,1
stat-mode,1
sax,7
jake,1
async,11
filelist,1
mime,7
binaryextensions,1
editions,1
textextensions,1
errlop,1
version-range,1
version-compare,1
dotenv,3
dotenv-expand,1
boxen,3
configstore,2
has-yarn,1
import-lazy,1
is-installed-globally,1
is-npm,1
is-yarn-global,1
latest-version,1
pupa,1
semver-diff,1
xdg-basedir,4
ansi-align,1
cli-boxes,1
widest-line,1
unique-string,1
crypto-random-string,1
global-dirs,1
is-path-inside,3
package-json,1
registry-auth-token,1
registry-url,1
acorn-jsx,1
escape-goat,1
cliui,1
get-caller-file,1
require-directory,1
require-main-filename,1
which-module,1
y18n,1
decamelize,4
os-locale,1
@eslint/eslintrc,1
doctrine,5
enquirer,1
eslint-utils,6
esquery,2
file-entry-cache,1
functional-red-black-tree,1
json-stable-stringify-without-jsonify,1
regexpp,3
table,1
text-table,4
v8-compile-cache,1
@humanwhocodes/config-array,1
@humanwhocodes/module-importer,1
grapheme-splitter,1
js-sdsl,1
lodash.merge,2
ansi-colors,3
flat-cache,2
flatted,2
eslint-rule-composer,1
array-includes,4
array.prototype.flat,1
contains-path,1
eslint-import-resolver-node,1
